EntrezID	GeneSymbol	RNAseq-EryP-Rep1	RNAseq-EryP-Rep2	RNAseq-EryP-Rep3	RNAseq-EryD-Rep1	RNAseq-EryD-Rep2	RNAseq-EryD-Rep3
100009600	Zglp1	0.652797613	0.998630191	1.112188426	0.772675519	0.72593705	0.974695723
100009609	Vmn2r65	0.088927651	0	0	0	0.236776323	0.199746348
100009614	Gm10024	0	0.340460315	0	0	0	0
100009664	F630206G17Rik	0	0.414352757	0.315653629	0.330687802	0.083318543	0.103327367
100012	Oog3	0.088927651	0	0	0.254847487	0.083318543	0.103327367
100017	Ldlrap1	4.131805693	4.134918478	4.569582938	5.876999881	6.100077558	5.934069337
100019	Mdn1	6.297014695	6.31801875	6.009127019	4.839403982	4.893140288	4.685079677
100033459	Pydc3	0.088927651	0.414352757	0.242976257	0.17479807	0.375468954	0.531557862
100034251	Wfdc17	0	0.180250055	0	0	0.162086862	0.103327367
100034361	Mfap1b	6.22035492	6.236336952	6.216699657	6.735479438	6.749505498	6.676303409
100034363	Tmsb15b2	0.088927651	0.092938249	0.166442556	0.090044751	0.307788639	0.290123112
100034684	BC100530	0	0	0	1.812179776	2.114142128	1.786676137
100034726	Gm15772	9.748973449	9.688889613	9.78537027	9.296610634	9.27699294	9.258760267
100034729	Gm15114	0.172690617	0.262577947	0.166442556	0	0.083318543	0.103327367
100034739	Gm17762	0	0.340460315	0.574489846	0.536870919	0.375468954	0.531557862
100036518	Vmn1r223	0	0.180250055	0.166442556	0	0.307788639	0.103327367
100036520	Gm14318	0.172690617	0.092938249	0.242976257	0	0	0.290123112
100036521	Gm16039	3.457063072	3.27056136	3.430688819	4.122905897	4.096898983	3.866652995
100036523	Gm16982	4.110723178	4.224941249	3.883363329	5.044760864	5.09734947	5.082870953
100036537	Gm11149	0.172690617	0	0.242976257	0	0.236776323	0.290123112
100036768	Gm11696	2.1275358	1.997944799	2.14536949	2.374680052	2.400691152	2.747841044
100037258	Dnajc3	4.667577929	4.660332386	4.711013869	5.673592764	5.555080775	5.679931417
100037260	9430060I03Rik	1.336799828	1.300933662	1.152428102	0.659585569	0.964388083	1.224329091
100037262	Gm12359	3.260509011	3.260579242	3.363712859	3.531334625	3.361003078	3.574644832
100037278	Fam129c	0.251856015	0.615718588	0.514002991	0.090044751	0.776884559	0.86134423
100037282	Rsph3b	3.530341667	3.566333093	3.548458018	3.465569546	3.86933463	3.547417941
100037283	Rnaset2a	5.346017409	5.287655283	5.297822111	4.508953485	4.57828119	4.612495988
100037396	D030047H15Rik	0.172690617	0.262577947	0.166442556	0	0.083318543	0.375170495
100038347	Fam174b	3.379862343	2.582678763	1.835132452	1.864148958	0.964388083	1.817393629
100038353	Gm10532	0.817993208	0.414352757	0.688349116	0.090044751	0.236776323	0.603822093
100038356	Gm15612	0.326902392	0.484644238	0.514002991	0.254847487	0.162086862	0.199746348
100038358	Gm10857	0.918470722	0.414352757	0.84387938	1.673424707	1.704511186	1.514099598
100038363	F630028O10Rik	0.172690617	0.092938249	0.166442556	0.402739632	0.162086862	0.199746348
100038371	Zfp389	0	0	0	0	0.501990011	0
100038374	Gm10714	0.172690617	0.092938249	0	0.090044751	0.236776323	0
100038378	Gm10433	0	0.180250055	0.315653629	0	0.083318543	0.375170495
100038392	Gm10785	2.463134004	1.923980299	2.29666482	2.778353914	2.416843262	2.825450419
100038394	Gm10512	0	0.092938249	0.242976257	0.090044751	0.083318543	0
100038410	Gm10536	0.251856015	0.414352757	0	1.384094014	0.964388083	1.129593805
100038417	Spink13	0.251856015	0	0.315653629	0.090044751	0	0.199746348
100038439	Gm10556	0.088927651	0.092938249	0.38484472	0	0.162086862	0.672638635
100038453	Gm12522	0.398237264	0.340460315	0.315653629	0.090044751	0.375468954	0.103327367
100038454	Gm13939	0.172690617	0.180250055	0.166442556	0.090044751	0	0.375170495
100038460	Gm10677	0.172690617	0.340460315	0.166442556	0	0.162086862	0.199746348
100038464	Gm15441	0.172690617	1.179041197	0.793876063	3.19836941	3.640884761	3.196497294
100038468	Gm10684	0	0.414352757	0.315653629	0	0	0
100038479	Gm10787	0.251856015	0.340460315	0.315653629	0	0.162086862	0.103327367
100038481	Gm10510	0.088927651	0	0.085620241	0	0	0.103327367
100038489	Gm10664	0.326902392	0.180250055	0.085620241	0	0	0
100038493	Gm13582	0.172690617	0.092938249	0.574489846	0	0.083318543	0.45548218
100038494	Gm10782	0	0	0	0	0.162086862	0.103327367
100038514	Gm11837	0.466210507	0.092938249	0.166442556	0.090044751	0.236776323	0.199746348
100038516	Gm10640	0.088927651	0.262577947	0	0	0.083318543	0.199746348
100038522	Gm10485	0.088927651	0.092938249	0.315653629	0	0.162086862	0.290123112
100038525	Gm10804	0.251856015	0.414352757	0.166442556	0	0.618304538	0.103327367
100038526	Gm10560	0	0	0.085620241	0	0	0
100038538	Gm10767	2.841408701	2.500243491	2.481760985	3.082493304	3.065585568	2.682600037
100038545	Gm10745	0	0	0.085620241	0	0	0.199746348
100038554	Gm15348	0	0.180250055	0.315653629	0	0.083318543	0.103327367
100038555	Gm10578	0.088927651	0	0	0.090044751	0.162086862	0.199746348
100038556	Gm10445	0.088927651	0	0	0	0	0
100038566	Gm10658	1.223525128	0.67704467	1.338336674	1.110535356	1.243304319	1.269461642
100038570	Gm11744	0.251856015	0	0.242976257	0	0	0
100038574	Gm10415	0.531124746	0.262577947	0.38484472	0.090044751	0.083318543	0.672638635
100038575	Gm10635	0.172690617	0.092938249	0.242976257	0	0.083318543	0.290123112
100038577	Gm10790	0.172690617	0.092938249	0	0.17479807	0	0.531557862
100038584	Gm14812	0.172690617	0	0.085620241	0	0	0
100038591	F420014N23Rik	3.546132421	3.4481714	3.380750595	4.492536995	4.353385422	4.493902163
100038595	Gm16287	0.172690617	0.262577947	0.450868746	0	0.083318543	0.603822093
100038600	Gm11529	0.251856015	0.180250055	0.085620241	0.330687802	0.307788639	0
100038602	Gm10865	1.570928878	1.448923869	1.563940612	2.077297681	2.011518502	2.190271561
100038607	Gm10636	0.088927651	0.262577947	0.085620241	0.090044751	0.307788639	0.290123112
100038608	Gm10389	0.172690617	0.484644238	0.166442556	0	0.236776323	0
100038614	Gm10791	0.088927651	0	0.085620241	0	0.307788639	0.199746348
100038617	Gm10466	0.088927651	0.180250055	0.085620241	0	0.083318543	0.199746348
100038623	Gm10823	0.088927651	0	0	0	0.083318543	0
100038627	F630042J09Rik	0.172690617	0.340460315	0.38484472	0	0.162086862	0.290123112
100038628	Gm10768	0.088927651	0	0.166442556	0.17479807	0.375468954	0.672638635
100038638	Gm10474	0	0.092938249	0.315653629	0.17479807	0	0.375170495
100038653	Gm10538	0.088927651	0	0.085620241	0.17479807	0	0.103327367
100038654	Gm10371	0.251856015	0.092938249	0.085620241	0.090044751	0	0.290123112
100038657	7420461P10Rik	0	0	0.085620241	0.090044751	0	0
100038659	Gm10872	0.172690617	0.180250055	0	0	0	0.375170495
100038666	Gm12298	0	0.092938249	0.166442556	0	0	0
100038689	Gm10421	0	0.092938249	0	0	0	0
100038693	Tmem51os1	0.088927651	0.180250055	0.574489846	0	0.083318543	0.672638635
100038699	Gm10754	0	0	0	0	0	0.103327367
100038706	Gm10637	0.326902392	0	0	0	0.083318543	0.45548218
100038709	Gm10789	0.466210507	0.792390138	0.793876063	0.599532604	0.673124304	1.028197734
100038712	Gm10516	0.398237264	0.949767847	0.632542429	1.453589416	1.476934808	1.129593805
100038713	Gm10432	0.251856015	0.180250055	0.74207723	0.254847487	0.375468954	0.45548218
100038714	Gm15401	0	0.340460315	0.38484472	0.090044751	0.307788639	0.199746348
100038718	Gm10494	0.251856015	0.414352757	0.166442556	0.090044751	0.162086862	0.531557862
100038725	Cep85l	0.869106517	1.045891697	0.688349116	1.066849964	0.919746992	0.738321536
100038728	Gm10373	0.088927651	0.180250055	0	0.17479807	0	0
100038732	Gm11681	0.088927651	0.180250055	0.242976257	0	0.162086862	0.199746348
100038734	Gm10845	0.398237264	0	0.514002991	0	0	0.375170495
100038743	Gm13629	0.088927651	0.092938249	0.085620241	0.090044751	0.236776323	0.103327367
100038746	Gm1976	1.798919004	2.045228398	1.732688701	2.494935331	2.666915846	2.387403269
100038752	Gm10825	0.172690617	0.340460315	0.315653629	0.090044751	0.162086862	0.531557862
100038847	Gm10406	0.088927651	0	0.085620241	0	0	0.375170495
100038854	BC117090	0	0	0	0.659585569	1.130301392	0.603822093
100038859	Olfr55	0.088927651	0.414352757	0.315653629	0	0	0.45548218
100038860	Olfr239	0.088927651	0.340460315	0.38484472	0	0.162086862	0.45548218
100038862	Btnl1	0.172690617	0.092938249	0	0	0.162086862	0.375170495
100038882	Isg15	0.398237264	0.262577947	0.514002991	2.59058993	2.246557274	2.427778888
100038909	Gm14548	0.172690617	0.092938249	0.242976257	0.471363533	0.236776323	0.375170495
100038912	Ceacam-ps1	0.088927651	0	0	0	0	0.199746348
100038927	Gm15284	0.172690617	0	0	0	0.162086862	0
100038941	Vmn2r121	0.251856015	0.414352757	0.242976257	0.254847487	0.307788639	0.375170495
100038947	LOC100038947	0.172690617	0.092938249	0	0.090044751	0.083318543	0.45548218
100038948	Mup9	0	0.262577947	0.085620241	0.17479807	0.083318543	0
100038949	Gm1979	0.088927651	0.615718588	0	0	0.236776323	0.603822093
100038977	Gm1993	0.088927651	0.092938249	0	0.17479807	0	0
100038982	Gm1995	1.223525128	1.448923869	1.372807299	1.785475879	1.830436271	1.934113285
100038993	Gm2002	2.084930326	2.465903649	2.020481729	1.673424707	2.367834088	2.281225437
100039008	Mup10	0	0.092938249	0.085620241	0	0.083318543	0
100039027	Gm2011	0.765002278	0.67704467	0.514002991	1.234174596	1.049728477	1.514099598
100039028	Mup11	0	0.180250055	0.085620241	0.090044751	0.083318543	0
100039030	Gm2012	0	0	0	0.090044751	0.083318543	0
100039042	Gm2016	1.223525128	1.091653939	1.406473492	0.717238372	0.72593705	0.672638635
100039043	Gm10731	0.326902392	0.180250055	0.085620241	0.330687802	0.501990011	0.199746348
100039045	Gm10471	0.466210507	0.67704467	0.74207723	0.17479807	0.501990011	0.974695723
100039052	Gm2022	1.100592894	0.846779363	1.266821625	0.717238372	0.618304538	1.079786381
100039054	Mup12	0	0.180250055	0	0.090044751	0.083318543	0.199746348
100039060	0610010B08Rik	5.293193159	5.518788385	5.561471239	4.454902303	4.560216567	4.103171026
100039062	Gm2027	2.543998002	2.240695106	2.513004629	1.194127395	0.964388083	1.079786381
100039065	Gm2030	0	0	0	0	0.083318543	0.103327367
100039087	Gm2042	0.593243493	0.340460315	0.892207499	0.599532604	0.307788639	0.199746348
100039089	Mup13	0	0.092938249	0	0	0.236776323	0
100039116	Mup14	0	0	0.085620241	0	0	0
100039120	Gm14525	0	0	0.085620241	0.090044751	0	0
100039123	Gm14295	2.323513636	2.068301481	2.558636927	1.273140101	1.206611427	1.177738913
100039138	Gm2061	6.21171769	6.24015183	6.064216105	5.249135813	5.276205124	5.126453793
100039139	Ccdc152	0	0	0	0	0	0
100039150	Mup15	0	0.340460315	0.166442556	0.17479807	0	0
100039176	Gm13580	0	0	0	0	0	0
100039177	Mup16	0	0.180250055	0.085620241	0.090044751	0	0
100039186	Gm2087	0	0	0	0	0	0
100039192	Tmem254c	1.336799828	1.37682552	1.406473492	1.889447983	2.448614893	2.810258952
100039206	Mup17	0	0.180250055	0	0	0.083318543	0
100039211	Gm10649	0	0.414352757	0.085620241	0.254847487	0.162086862	0
100039213	Cphx2	0.251856015	0	0.793876063	0	0	0
100039222	Gm2109	0.251856015	0.092938249	0	0	0	0
100039227	Duxbl2	0	0.262577947	0.632542429	0	0.440115989	0.290123112
100039239	Gm2115	0	0.092938249	0	0	0	0.103327367
100039246	Plac9b	0	0	0.632542429	0	0	0.738321536
100039257	Tmem254b	1.336799828	1.37682552	1.406473492	1.889447983	2.400691152	2.763700513
100039293	Duxbl3	0	0.262577947	0.632542429	0	0.440115989	0.290123112
100039315	Gm10436	0.398237264	0.092938249	0.315653629	0.330687802	0.162086862	0.199746348
100039319	Gm14920	0	0.180250055	0	0	0	0
100039348	Gm2176	0.088927651	0.484644238	0	0	0.375468954	0.103327367
100039436	Mageb16-ps1	0.251856015	0.340460315	0.315653629	0.254847487	0.236776323	0.290123112
100039479	Vmn1r186	0	0	0.085620241	0	0.375468954	0
100039495	Gm15706	0.817993208	0.949767847	0.793876063	0.927247787	1.00768921	1.079786381
100039499	Vmn1r187	0	0	0	0	0.236776323	0.199746348
100039551	Tgif2lx2	0.172690617	0	0.793876063	0	0	0.199746348
100039574	Gm20806	0	0	0	0	0	0.375170495
100039596	Tcf24	0.466210507	0.792390138	0.514002991	0	0.083318543	0.103327367
100039614	Gm20809	0	0	0	0	0	1.079786381
100039636	Atp6v0c-ps2	6.806658384	6.745924721	6.90965917	7.770995501	7.769368491	7.795138044
100039641	E330012B07Rik	0.398237264	0.092938249	0.688349116	0.17479807	0.307788639	0.199746348
100039672	Msmp	2.446402723	2.533784925	2.528376326	4.645147877	4.592571775	4.563506107
100039684	5031434O11Rik	0	0.340460315	0.315653629	0	0.083318543	0.199746348
100039691	Gm2373	0.251856015	0.414352757	0.315653629	0.772675519	0.162086862	0.375170495
100039706	Gm2381	0.593243493	0.998630191	0.984262371	0.599532604	0.083318543	0.290123112
100039707	Gm2382	3.288941457	3.38525133	3.494692929	2.956490865	3.154963408	3.196497294
100039727	1700049E15Rik	0	0	0.085620241	0	0	0.199746348
100039753	Gm20815	0	0	0.085620241	0.254847487	0	0
100039781	Hrct1	0.088927651	0	0.085620241	0	0.162086862	0
100039795	Ildr2	0.172690617	0.615718588	0.793876063	0.17479807	0.673124304	0.801143797
100039796	Tgtp2	0.326902392	0.67704467	0.688349116	0.090044751	0.236776323	0.603822093
100039801	Cldn24	0.088927651	0	0	0	0	0.103327367
100039805	D5Ertd605e	0	0	0.166442556	0.17479807	0.162086862	0.290123112
100039863	Gm13306	1.601477225	1.5831358	2.260302305	2.032578213	1.595205701	2.142549841
100039864	Snhg12	3.849522914	3.923438983	4.23211273	3.563126083	3.473381661	3.491372418
100039890	Gm15093	0.593243493	0.846779363	0.574489846	0	0.307788639	0.375170495
100039913	Rhox2b	0.088927651	0.092938249	0.085620241	0	0	0
100039934	Gm15085	0.817993208	1.136009122	0.793876063	0	0.440115989	0.531557862
100039939	Gm2506	1.336799828	0.846779363	1.678603146	1.487120779	1.130301392	1.224329091
100039948	Rhox2c	0.088927651	0.092938249	0.085620241	0	0	0.103327367
100039953	Gm581	0.088927651	0.180250055	0.085620241	0	0.083318543	0
100039954	Gm2516	0	0	0	0	0	0
100039957	Gm2518	3.362130793	3.430472495	3.471022889	3.473956006	3.457853653	3.276055903
100039968	Gm12942	1.183700366	1.550735093	1.650780502	1.234174596	0.964388083	1.028197734
100040016	Rhox2e	0.088927651	0.092938249	0.085620241	0	0	0.103327367
100040022	Gm20822	0	0	0.166442556	0	0	0.375170495
100040048	Ccl27b	1.601477225	1.5831358	2.260302305	2.032578213	1.595205701	2.142549841
100040049	1810010D01Rik	0.172690617	0	0	0.090044751	0	0
100040160	Gm20826	0	0.180250055	0.166442556	0	0	0.199746348
100040201	Gm10229	0	0	0	0.17479807	0	0
100040208	Gm2663	0.326902392	0.340460315	0.166442556	0.17479807	0.236776323	0.375170495
100040214	Gm10228	0	0	0	0	0	0
100040223	Gm20831	0	0	0	0	0.307788639	0
100040233	Gm10334	0.172690617	0.180250055	0.166442556	0.17479807	0.236776323	0.290123112
100040248	Gm11563	0	0.180250055	0	0.402739632	0	0.199746348
100040268	Olfr157	0.088927651	0	0	0	0	0.199746348
100040276	Gm11595	0.088927651	0.092938249	0	0.17479807	0	0
100040294	Gm2694	0.531124746	0.615718588	0.574489846	0	0	0.290123112
100040299	Gm2696	0.326902392	0.180250055	0.085620241	0.090044751	0	0
100040322	3830408C21Rik	0.765002278	1.045891697	0.514002991	1.419260128	1.206611427	1.817393629
100040339	Gm2721	0	0	0	0	0	0
100040421	Gm2762	0.251856015	0.180250055	0.514002991	0	0.083318543	0.103327367
100040462	Mndal	0.088927651	0.262577947	0.166442556	0.402739632	0.561319162	1.079786381
100040482	Gm2799	0	0	0.166442556	0.254847487	0	0.45548218
100040525	Tmem181c-ps	1.336799828	1.645832664	1.835132452	1.194127395	1.830436271	2.093195412
100040531	Dynlt1f	7.188180575	7.10231448	7.206967807	7.29329453	7.162584624	7.19062467
100040533	Gm2825	0	0	0	0	0	0.103327367
100040552	Gm2837	0	0.092938249	0.085620241	0	0	0.103327367
100040563	Dynlt1c	7.176180302	7.094608986	7.197984079	7.28020352	7.150561195	7.174401752
100040567	Gm12409	0.088927651	0	0.085620241	0.254847487	0.307788639	0.290123112
100040572	Gm2848	0	0	0	0.090044751	0	0.199746348
100040591	Kcnj13	0.326902392	0.092938249	0.166442556	0.090044751	0.083318543	0.45548218
100040599	Gm15319	2.267463911	2.22023928	2.631622844	1.643997253	2.172385667	2.505290597
100040606	Gm2863	0	0	0	0	0	0.103327367
100040608	Fancf	3.473671883	3.178133889	3.463045782	3.267540094	3.202324965	3.340922436
100040617	Gm12603	0	0.180250055	0	0	0.162086862	0
100040635	Gm15023	0.326902392	0.615718588	0.688349116	0.599532604	0	0.672638635
100040671	Gm2897	0.251856015	0.180250055	0.242976257	0.17479807	0.083318543	0.375170495
100040698	Gm2913	0.088927651	0.180250055	0	0	0	0
100040722	Gm2927	0.088927651	0	0	0	0	0
100040724	Mirg	0.172690617	0.340460315	0.085620241	0	0.307788639	0.375170495
100040732	Gm2933	0.172690617	0.092938249	0	0	0	0
100040736	9130206I24Rik	0.466210507	0.340460315	0.085620241	0.826061027	0.919746992	0.738321536
100040766	Mroh2a	3.279526098	3.230211672	3.380750595	4.220831138	4.111858614	4.071665526
100040786	Gm20852	0	0	0.450868746	0	0	0
100040792	Gm11627	0	0	0	0	0	0.103327367
100040843	Cyp4a32	0.251856015	0.092938249	0.242976257	0	0	0.290123112
100040851	Gm9767	0.088927651	0.180250055	0.166442556	0.17479807	0.236776323	0
100040852	Gm3002	0.088927651	0.340460315	0.38484472	0	0.162086862	0.103327367
100040854	Gm13040	1.539719667	0.735869851	0.450868746	0.254847487	1.206611427	1.690393029
100040861	Gm13057	1.539719667	0.735869851	0.450868746	0.254847487	1.206611427	1.690393029
100040867	Gm16405	0.172690617	0	0	0.330687802	0	0.199746348
100040880	Gm3020	0	0.180250055	0.315653629	0.17479807	0.162086862	0.672638635
100040882	1700017G19Rik	0.088927651	0	0.450868746	0	0	0.45548218
100040894	Gm16430	0.172690617	0	0	0.330687802	0	0.199746348
100040911	Gm20854	0.088927651	0.180250055	0	0	0	0
100040937	Gm16390	0	0	0.166442556	0	0	0.103327367
100040970	Rpl14-ps1	10.44174516	10.36336477	10.50910613	9.488747235	9.546354409	9.559321233
100040972	Tceal7	0	0	0.085620241	0.090044751	0	0
100040999	Gm3086	0.172690617	0.262577947	0.166442556	0.402739632	0.162086862	0.290123112
100041077	Gm13102	0.398237264	0.092938249	0.38484472	0.090044751	0.561319162	0.672638635
100041085	G630090E17Rik	0.326902392	0.414352757	0.315653629	0.402739632	0.083318543	0.603822093
100041102	Gm3139	0.593243493	0.615718588	0.315653629	0.17479807	0.307788639	0.531557862
100041108	Gm3143	0.088927651	0	0.085620241	0	0.236776323	0.103327367
100041187	Olfr596	0	0	0	0	0	0.103327367
100041223	Gm20865	0.088927651	0	0	0	0	0
100041230	Hist1h4m	4.474792798	4.759354578	4.164854329	5.11615151	5.198918107	5.358247944
100041231	Gm3219	2.189173893	2.376298208	2.33213332	1.914311	1.806115237	1.847470703
100041244	Gm3230	0.326902392	0.551669477	0.085620241	0	0.561319162	0.45548218
100041253	AU018829	1.100592894	1.37682552	0.793876063	0.471363533	0.561319162	1.313225014
100041261	Gm3238	0.088927651	0.180250055	0	0.17479807	0.083318543	0
100041286	Gm11974	2.775956298	3.167488886	3.363712859	1.938752784	2.094193103	2.142549841
100041290	D4Ertd617e	1.142744981	1.220826819	1.229689227	1.021800343	1.314003768	0.801143797
100041294	Gm3258	5.171215373	5.035895793	5.297822111	5.485239244	5.607038588	5.735271324
100041296	Gm3259	0.326902392	0.551669477	0.315653629	0	0.375468954	0.86134423
100041306	Gm3264	0.172690617	0	0.085620241	0	0	0.290123112
100041311	Gm11978	0.172690617	0.092938249	0	0.17479807	0.375468954	0.375170495
100041339	Gm3279	0	0	0	0	0	0.199746348
100041346	Gm20871	0	0	0.574489846	0	0	0
100041347	Gm11985	0.088927651	0	0.085620241	0.090044751	0.083318543	0
100041351	Gm3285	0.088927651	0.180250055	0.085620241	0.090044751	0	0.103327367
100041352	Tcp10c	0.172690617	0.998630191	0.514002991	0.17479807	0.440115989	0.603822093
100041354	Gm3286	0.466210507	1.045891697	1.070794101	0.471363533	0.776884559	0.86134423
100041375	Cyp3a41b	0.466210507	0.615718588	0.632542429	0.090044751	0.673124304	0.919132933
100041379	Gm13242	1.689422943	2.357689379	2.400556892	0.402739632	1.854354087	2.015845934
100041412	Gm11938	0	0.092938249	0.166442556	0.17479807	0	0.199746348
100041433	Gm13247	1.539719667	1.973708872	2.203980115	0.402739632	1.206611427	1.723206578
100041449	Cyp3a59	0.088927651	0.180250055	0.242976257	0.090044751	0.083318543	0
100041479	Gm3363	0	0	0	0	0.083318543	0
100041480	Gm9833	4.978107777	4.948438169	5.108809999	5.569828568	5.470558927	5.566971235
100041488	Gm11937	0	0.092938249	0.166442556	0	0	0.199746348
100041505	Gm3376	0.593243493	0.262577947	0.793876063	0.471363533	0.501990011	0.603822093
100041515	Gm3383	0	0	0.166442556	0	0.162086862	0.801143797
100041530	Gm10409	0	0.484644238	0.793876063	0.17479807	0.162086862	0.672638635
100041546	Ly6c2	0	0.484644238	0.085620241	0.471363533	0.375468954	0.531557862
100041548	Gm3402	0.326902392	0.735869851	0.242976257	0.17479807	0.307788639	0.672638635
100041550	Gm20877	0	0.180250055	0.315653629	0	0	0.199746348
100041554	Gm3404	0.172690617	0.414352757	0	0.090044751	0	0.290123112
100041566	Gm3409	0.088927651	0.484644238	0.085620241	0.17479807	0.083318543	0.103327367
100041574	9030025P20Rik	3.695204894	3.421540948	3.72560699	4.02927277	4.155828716	4.205418184
100041576	Gm3414	2.14837581	1.5831358	1.859645795	2.338396328	2.114142128	2.166608011
100041578	Gm3415	0.326902392	1.045891697	0.242976257	0.17479807	0.375468954	0.672638635
100041579	Gm20878	1.183700366	1.5831358	1.835132452	1.785475879	1.476934808	2.190271561
100041581	Zkscan16	0.326902392	0.414352757	0.085620241	0	0.236776323	0.103327367
100041585	Amd2	7.731512146	7.620788734	8.091293955	7.600513524	7.631700641	7.53821246
100041586	Gm3417	2.463134004	2.985532029	2.687464434	3.093420614	3.38583205	3.330311867
100041596	Gm9994	0	0.414352757	0	0	0	0.199746348
100041605	Gm3428	0	0	0.085620241	0.090044751	0	0
100041618	Gm3434	0.088927651	0	0.085620241	0	0	0
100041621	Gm3435	3.757570442	3.47431918	3.678157875	4.063017985	4.179689639	4.14615389
100041639	Gm3448	2.463134004	2.985532029	2.687464434	3.093420614	3.38583205	3.330311867
100041655	Gm10863	0	0	0	0	0.083318543	0.103327367
100041658	Mup7	0	0.180250055	0	0	0.162086862	0
100041660	Gm3458	0.088927651	0	0	0	0	0
100041677	Gm13157	4.257018948	4.617957012	4.48150582	3.814945076	3.654571359	3.767887275
100041678	Gm3500	0.326902392	0	0.166442556	0.471363533	0	0.199746348
100041687	Mup8	0	0	0	0.090044751	0	0
100041688	Gm10104	0	0	0	0.17479807	0	0.199746348
100041694	Gm10451	1.601477225	0.792390138	1.678603146	0.877541346	0.673124304	0.738321536
100041724	Gm15217	0	0.180250055	0	0	0.236776323	0
100041735	Gm3494	0	0	0	0	0.162086862	0.199746348
100041759	Gm15293	0	0	0	0.090044751	0	0
100041774	Gm10413	0	0.484644238	0	0	0.561319162	0.375170495
100041787	Gm15292	0	0	0	0.090044751	0	0
100041811	Gm15299	0	0	0.166442556	0	0	0
100041840	Gm10408	0.326902392	0.949767847	0.984262371	0.17479807	0.561319162	0.801143797
100041874	Gm3558	0.088927651	0.092938249	0.085620241	0	0.083318543	0.290123112
100041890	Gm15308	0	0	0	0	0	0
100041895	Gm14850	0	0	0	0.17479807	0	0.199746348
100041952	Gm15315	0	0.092938249	0	0.090044751	0	0
100041953	Gm10094	7.057937762	6.950701677	7.137872159	7.230954339	7.265953884	7.30477753
100041965	Oaz1-ps	9.852910465	9.776762702	9.808278772	10.51263353	10.43075759	10.5701088
100041979	Gm3604	2.377466981	2.260864941	1.758989645	2.410073583	2.832602465	2.467055239
100042049	Gm15421	6.910953405	6.9049738	7.004081517	6.60315718	6.601025058	6.674207182
100042055	Gm10377	0.918470722	1.483665405	1.622410723	0.826061027	1.130301392	1.437072552
100042056	9130019P16Rik	0.172690617	0.735869851	0.315653629	0	0.375468954	0.603822093
100042065	Gm3646	0	0	0.085620241	0	0	0
100042149	Gm3696	0.172690617	0.092938249	0.315653629	0.17479807	0.162086862	0.45548218
100042150	Nrg2	0.172690617	0.262577947	0.315653629	0.090044751	0	0.45548218
100042159	Gm3701	0	0.092938249	0	0	0	0
100042165	BC005561	3.335118029	3.290320754	3.422484901	3.208456311	3.065585568	3.06187508
100042168	Gm3706	0	0	0	0	0	0
100042173	Rps15a-ps6	7.87712527	7.828895061	7.889952213	7.537395304	7.49003147	7.502033319
100042194	Gm13446	0	0.340460315	0	0.17479807	0	0
100042198	Gm3716	0.251856015	0.262577947	0	0.17479807	0	0.375170495
100042254	Gm3750	0	0	0	0	0	0
100042275	Gm3763	0	0.092938249	0.166442556	0	0	0
100042295	Gm3776	0.172690617	0.340460315	0	0.330687802	0.162086862	0.531557862
100042314	Gm10639	0	0.180250055	0	0.330687802	0	0.290123112
100042332	2810410L24Rik	0	0.092938249	0	0.090044751	0.083318543	0.375170495
100042342	Gm10375	0.326902392	0.484644238	0.315653629	0.17479807	0.618304538	0.738321536
100042415	Gm3833	1.507820364	1.448923869	1.953734902	1.066849964	1.476934808	1.224329091
100042437	Vmn1r79	0	0.180250055	0.450868746	0	0.375468954	0.45548218
100042450	Gm16532	0	0.180250055	0.242976257	0	0	0
100042464	2610203C20Rik	0.088927651	1.091653939	0.574489846	0.471363533	0.375468954	0.974695723
100042480	Nhsl2	0.466210507	0.551669477	0.632542429	0.471363533	0.618304538	0.919132933
100042493	Ccl21b	0	0.615718588	1.303022233	0	0	0.672638635
100042498	Mir22hg	0.966201582	1.300933662	0.84387938	3.369949934	3.055304077	3.231132411
100042499	Vmn2r55	0.172690617	0.340460315	0	0	0.162086862	0.375170495
100042539	Gm3893	0	0.180250055	0.166442556	0	0	0
100042555	Gm13305	1.507820364	1.923980299	1.622410723	1.110535356	1.704511186	1.551123866
100042584	Gm16523	0.466210507	0.262577947	0.242976257	0.402739632	0.72593705	0.375170495
100042591	Vmn2r31	0.251856015	0.340460315	0.574489846	0.330687802	0.083318543	0.199746348
100042605	Gm3925	0	0.180250055	0.085620241	0.090044751	0	0.103327367
100042636	Vmn2r34	0.088927651	0.092938249	0.166442556	0.17479807	0	0.531557862
100042653	Vmn2r36	0.251856015	0.414352757	0.450868746	0.090044751	0.162086862	0.290123112
100042663	1700003E24Rik	0.172690617	0.180250055	0.166442556	0	0.083318543	0.199746348
100042679	Gm16386	0.709990501	1.179041197	0.450868746	0.599532604	1.206611427	0
100042690	Gm13769	0	0	0.450868746	0	0	0
100042715	Gm3985	0.172690617	0	0	0.254847487	0	0.199746348
100042757	Gm4013	0.966201582	0.949767847	0.242976257	1.519890471	1.09057735	1.269461642
100042761	Gm10697	0.326902392	0.484644238	0.450868746	0.471363533	0.307788639	0.672638635
100042776	Gm4027	1.100592894	0.949767847	1.439371945	0.599532604	0.72593705	0.45548218
